t,s,Solar,Storage injection,Storage generation,storage_status,unmet,surplus,lower_fcas,up_fcas,lower_fcas_stor,up_fcas_stor,Load,dual_demand,emission
5062,Avg,0.0,0.0,0.9039869922436747,7.683898779447658,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.8135882930193072,-0.0,0.0
5063,Avg,0.0,0.0,0.9025792033061479,6.7813195761415095,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.8123212829755331,-0.0,0.0
5064,Avg,0.0,0.0,0.8909153484958953,5.8904042276456146,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.8018238136463057,-0.0,0.0
5065,Avg,0.0,0.0,0.8646456249452635,5.025758602700351,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.7781810624507371,-0.0,0.0
5066,Avg,0.0,0.0,0.842745083946402,4.183013518753949,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.7584705755517618,-0.0,0.0
5067,Avg,0.0,0.0,0.8263350789607208,3.3566784397932286,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.7437015710646486,-0.0,0.0
5068,Avg,0.0,0.0,0.8134013399216583,2.5432770998715704,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.7320612059294924,-0.0,0.0
5069,Avg,0.0,0.0,0.8081985032770367,1.7350785965945337,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.727378652949333,-0.0,0.0
5070,Avg,0.004631508893160869,0.0,0.8098365824288759,0.9252420141656578,0.0,0.0,0.0,0.0,11.937316141530099,0.000463150889316087,0.7334844330791491,-0.0,0.0
5071,Avg,0.3543104303268065,0.0,0.44490548556648857,0.4803365285991692,0.0,0.0,0.0,0.0,11.937316141530099,0.03543104303268065,0.7547253673366462,-0.0,0.0
5072,Avg,0.7754694233452815,0.0,0.0,0.4803365285991692,0.0,0.0,0.0,0.0,11.937316141530099,0.07754694233452815,0.7754694233452815,-0.0,0.0
5073,Avg,1.359952186841042,0.5658515143533642,0.0,1.0461880429525334,0.0,0.0,0.0,0.0,11.937316141530099,0.13599521868410422,0.7941006724876777,-0.0,0.0
5074,Avg,0.8312171911953714,0.0,0.0,1.0461880429525334,0.0,0.0,0.0,0.0,11.937316141530099,0.08312171911953714,0.8312171911953714,-0.0,0.0
5075,Avg,3.1702678373686144,2.3173851283145903,0.0,3.3635731712671237,0.0,0.0,0.0,0.0,11.937316141530099,0.31702678373686144,0.8528827090540242,-0.0,0.0
5076,Avg,3.346265175308728,2.4900000373003097,0.0,5.8535732085674335,0.0,0.0,0.0,0.0,11.937316141530099,0.3346265175308728,0.8562651380084181,-0.0,0.0
5077,Avg,3.2188986807468045,2.3624151421243367,0.0,8.21598835069177,0.0,0.0,0.0,0.0,11.937316141530099,0.32188986807468045,0.8564835386224676,-0.0,0.0
5078,Avg,2.783536844789682,1.9393590685435544,0.0,10.155347419235325,0.0,0.0,0.0,0.0,11.937316141530099,0.2783536844789682,0.8441777762461274,-0.0,0.0
5079,Avg,2.1212310730676784,1.2688293172177416,0.0,11.424176736453067,0.0,0.0,0.0,0.0,11.937316141530099,0.21212310730676787,0.8524017558499367,-0.0,0.0
5080,Avg,1.363979369035876,0.5131394050770328,0.0,11.937316141530099,0.0,0.0,0.0,0.0,11.937316141530099,0.1363979369035876,0.8508399639588431,-0.0,0.0
5081,Avg,0.6831475617412281,0.0,0.15469050611419188,11.782625635415908,0.0,0.0,0.0,0.0,11.937316141530099,0.06831475617412282,0.8223690172440008,0.7500000000000001,0.0
5082,Avg,0.16210281126063042,0.0,0.703776212323588,11.07884942309232,0.0,0.0,0.0,0.0,11.937316141530099,0.016210281126063042,0.7955014023518595,0.7500000000000001,0.0
5083,Avg,0.0,0.0,0.8842142843878673,10.194635138704452,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.7957928559490806,0.7500000000000001,0.0
5084,Avg,0.0,0.0,0.9348978692753519,9.2597372694291,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.8414080823478167,0.7500000000000001,0.0
5085,Avg,0.0,0.0,0.9419732327896598,8.31776403663944,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.8477759095106938,0.7500000000000001,0.0
5086,Avg,0.0,0.0,0.9391632254035192,7.378600811235922,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.8452469028631672,0.7500000000000001,0.0
5087,Avg,0.0,0.0,0.9354755617431985,6.443125249492724,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.8419280055688786,0.7500000000000001,0.0
5088,Avg,0.0,0.0,0.9221195421958754,5.521005707296848,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.8299075879762878,0.7500000000000001,0.0
5089,Avg,0.0,0.0,0.9009470500546767,4.620058657242172,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.810852345049209,0.7500000000000001,0.0
5090,Avg,0.0,0.0,0.8810379354367509,3.739020721805421,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.7929341418930758,0.7500000000000001,0.0
5091,Avg,0.0,0.0,0.8595553683496794,2.8794653534557417,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.7735998315147115,0.7500000000000001,0.0
5092,Avg,0.0,0.0,0.8438032895965226,2.035662063859219,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.7594229606368703,0.7500000000000001,0.0
5093,Avg,0.0,0.0,0.8383879317782503,1.1972741320809688,0.0,0.0,0.0,0.0,11.937316141530099,0.0,0.7545491386004253,0.7500000000000001,0.0
5094,Avg,0.0023157544465804347,0.0,0.5985212783181554,0.5987528537628134,0.21838130693328556,0.0,0.0,0.0,11.937316141530099,0.0002315754446580435,0.7593662118662059,1.0,0.0
5095,Avg,0.298732323608876,0.0,0.2844398107009629,0.3143130430618505,0.22675192126418897,0.0,0.0,0.0,11.937316141530099,0.029873232360887604,0.7814800745039316,1.0,0.0
5096,Avg,0.7991714510963993,0.0,0.0,0.3143130430618505,0.0,0.0,0.0,0.0,11.937316141530099,0.07991714510963993,0.7991714510963993,-0.0,0.0
5097,Avg,0.8036143700694766,0.0,0.0,0.3143130430618505,0.0,0.0,0.0,0.0,11.937316141530099,0.08036143700694766,0.8036143700694766,-0.0,0.0
5098,Avg,1.858449198663004,1.0299974883911354,0.0,1.3443105314529857,0.0,0.0,0.0,0.0,11.937316141530099,0.18584491986630042,0.8284517102718687,-0.0,0.0
