t,s,Coal,Solar,Wind,Storage injection,Storage generation,unmet,surplus,Load
1848,Avg,0.25879022918312267,0.0,0.3484363135388632,0.0,5.422201686261208e-08,0.0,0.0,0.607226591521801
1849,Avg,0.25879022918312267,0.0,0.3299449595600019,0.0,2.711100843130604e-08,0.0,0.0,0.5887352131430321
1850,Avg,0.25879022918312267,0.0,0.3281849336956211,0.01421394927742415,0.0,0.0,0.0,0.5727612136013196
1851,Avg,0.25879022918312267,0.0,0.30324458203789983,0.0,0.0,0.0,0.0,0.5620348112210225
1852,Avg,0.25879022918312267,0.0,0.29543330544628743,0.0,0.0,0.0,0.0,0.5542235346294101
1853,Avg,0.25879022918312267,0.0,0.2900573143105072,0.0,0.0071069881942162905,0.0,0.0,0.5552438328684245
1854,Avg,0.25879022918312267,0.0,0.32415765719710044,0.0071069881942162905,0.0,0.0,0.0,0.5758408981860068
1855,Avg,0.25879022918312267,0.0,0.34520199481682423,0.0,0.0071069881942162905,0.0,0.0,0.6103885133747415
1856,Avg,0.25879022918312267,0.10569690142719618,0.28584101049225924,0.0071069881942162905,0.0,0.0,0.0,0.6432211529083618
1857,Avg,0.25879022918312267,0.219698614558684,0.17990491664027985,0.0,0.0,0.0,0.0,0.6583937603820865
1858,Avg,0.31270402665809915,0.2798413035546925,0.07339161054190747,0.0,0.0071069881942162905,0.0,0.0,0.6723332301294938
1859,Avg,0.33741807465746015,0.3167927243003122,0.018906980089369523,0.0,0.0035534940971081452,0.0,0.0,0.6763159237345392
1860,Avg,0.33261040040695655,0.3328720036205818,0.002642911238117518,0.0,0.0017767470485540726,0.0,0.0,0.6697243876093546
1861,Avg,0.33290653143933335,0.32746070769549107,0.00040660142254689616,0.0,0.0008883735242770363,0.0,0.0,0.6615733767292207
1862,Avg,0.34081957437401766,0.30179570416506074,0.0004066017544740117,0.0,0.00044418676213851815,0.0,0.0,0.6434216483794771
1863,Avg,0.37687215096946447,0.25448551693426735,0.0012198049314949195,0.0,0.00022209338106925908,0.0,0.0,0.632777356878189
1864,Avg,0.42870357708887724,0.18661240518812922,0.007725432339224875,0.0,0.00011104669053462954,0.0,0.0,0.6231413566377124
1865,Avg,0.49031152736888783,0.09833097738164887,0.02602250996284694,0.0,5.552334526731477e-05,0.0,0.0,0.6147149857241242
1866,Avg,0.5031945503704672,0.013605544040228146,0.09697451064176456,0.0,2.7761672633657385e-05,0.0,0.0,0.6137995905578303
1867,Avg,0.3864384017509622,0.0,0.24579074049794955,0.0,1.3880836316828692e-05,0.0,0.0,0.6322416350015969
1868,Avg,0.29185490127611285,0.0,0.36614485052829776,0.0,6.940418158414346e-06,0.0,0.0,0.6580059981807532
1869,Avg,0.25879022918312267,0.0,0.3748201957467976,0.0,3.470209079207173e-06,0.0,0.0,0.6336135481180916
1870,Avg,0.25879022918312267,0.0,0.3561391941653249,0.0,1.7351045396035865e-06,0.0,0.0,0.6149309849425332
1871,Avg,0.25879022918312267,0.0,0.3412164806890432,0.0,8.675522698017933e-07,0.0,0.0,0.6000074906692087
1872,Avg,0.25879022918312267,0.0,0.3276883349029348,0.0,4.3377613490089663e-07,0.0,0.0,0.5864789544845789
1873,Avg,0.25879022918312267,0.0,0.31216439201048685,0.0,2.1688806745044832e-07,0.0,0.0,0.5709548163928703
1874,Avg,0.25879022918312267,0.0,0.2992106874488023,0.0,1.0844403372522416e-07,0.0,0.0,0.5580010142315553
1875,Avg,0.25879022918312267,0.0,0.3046778010855946,0.014213867944398856,0.0,0.0,0.0,0.5492541623243185
1876,Avg,0.25879022918312267,0.0,0.2856276065805424,0.0,0.0,0.0,0.0,0.5444178357636651
1877,Avg,0.25879022918312267,0.0,0.283401151151767,0.0,0.0071069881942162905,0.0,0.0,0.5485876697096843
1878,Avg,0.25879022918312267,0.0,0.3222601754733011,0.0071069881942162905,0.0,0.0,0.0,0.5739434164622075
1879,Avg,0.25879022918312267,0.0,0.356031278041934,0.0,0.0071069881942162905,0.0,0.0,0.6212177965998513
1880,Avg,0.25879022918312267,0.06340780743343077,0.34906757816809775,0.0071069881942162905,0.0,0.0,0.0,0.6641586265904349
1881,Avg,0.25879022918312267,0.21676105391363476,0.20581759836306535,0.0,0.0,0.0,0.0,0.6813688814598228
1882,Avg,0.3271308753262828,0.27721295981964844,0.09697451064176457,0.0,0.0071069881942162905,0.0,0.0,0.7077146351624904
1883,Avg,0.36194950269824827,0.31400977211026554,0.043709685120721535,0.0,0.0035534940971081452,0.0,0.0,0.7228671046166326
1884,Avg,0.36742496176232403,0.3263784485104729,0.028868722244165018,0.0,0.0017767470485540726,0.0,0.0,0.7242712048606607
1885,Avg,0.3697456134977439,0.3150920312952837,0.030291828218860506,0.0,0.0008883735242770363,0.0,0.0,0.7159290091837375
1886,Avg,0.3785446091276964,0.27705835136464585,0.034154544720400054,0.0,0.00044418676213851815,0.0,0.0,0.6901572732986669
1887,Avg,0.43321213268709613,0.21784331309865293,0.0380172608900125,0.0,0.00022209338106925908,0.0,0.0,0.6892725907187238
1888,Avg,0.4760429672607968,0.16512182994276886,0.045132791095417034,0.0,0.00011104669053462954,0.0,0.0,0.6863975303204638
1889,Avg,0.5292574106509634,0.08998212081150887,0.06119355890346847,0.0,5.552334526731477e-05,0.0,0.0,0.6804830613766814
1890,Avg,0.5385169987606028,0.012368676400207404,0.120760711120968,0.0,2.7761672633657385e-05,0.0,0.0,0.6716713717871485
1891,Avg,0.47082628560299045,0.0,0.21631211611996423,0.0,1.3880836316828692e-05,0.0,0.0,0.6871508944756398
1892,Avg,0.39555978736925496,0.0,0.3169460422200678,0.0,6.940418158414346e-06,0.0,0.0,0.7125120759656653
1893,Avg,0.30096287037748126,0.0,0.37773299936906224,0.0,3.470209079207173e-06,0.0,0.0,0.6786989929347148
1894,Avg,0.25879022918312267,0.0,0.3982663864763278,0.0031616382963960965,0.0,0.0,0.0,0.6538949773630544
1895,Avg,0.25879022918312267,0.0,0.38993105100750125,0.011048867882957336,0.0,0.0,0.0,0.6376724123076666
1896,Avg,0.27359061161322124,0.0,0.34215534867396663,0.0,0.0071069881942162905,0.0,0.0,0.6221422496619825
1897,Avg,0.2974603131716256,0.0,0.3031215832318056,0.0,0.0035534940971081452,0.0,0.0,0.6037800410908285
1898,Avg,0.2671147940937485,0.0,0.32385827138227175,0.0,0.0017767470485540726,0.0,0.0,0.592572137819719
1899,Avg,0.25879022918312267,0.0,0.3254541213335166,0.0,0.0,0.0,0.0,0.5842443505166393
1900,Avg,0.25879022918312267,0.0,0.3326823264295752,0.02665120572831109,0.014213976388432581,0.0,0.0,0.5776139286339761
1901,Avg,0.25879022918312267,0.0,0.322689230226487,0.0,0.0,0.0,0.0,0.5814794594096097
1902,Avg,0.25879022918312267,0.0,0.35034993762624445,0.0,0.0,0.0,0.0,0.6091401668093671
1903,Avg,0.32140219898072264,0.036332986925609254,0.2927532396544632,0.0,0.0071069881942162905,0.0,0.0,0.6568847149355898
1904,Avg,0.3593419067337707,0.12925266838216737,0.20635037363324157,0.0,0.0035534940971081452,0.0,0.0,0.698143093436577
1905,Avg,0.3406014875326552,0.21366888481358293,0.16020107831760308,0.0,0.0017767470485540726,0.0,0.0,0.7160705230075399
